"","Anio","Bloque","X_UTM","Y_UTM","Altitud","Inc","Sevmed","LonBrot","Afmed","CA","RA","Color"
"138",2016,"Media",605715.2595,2180999.63,2990.6,0.466666667,0.143333333,8.8,0.294733333,1.960784314,98.03921569,2
"139",2016,"Media",605712.1161,2180999.501,2973.4,0.933333333,0.136,6.5,0.454633333,7.01754386,92.98245614,2
"140",2016,"Media",605712.1003,2181002.157,2991.1,0.266666667,0.049666667,16.5,0.520366667,7.142857143,92.85714286,2
"141",2016,"Media",605709.9215,2181016.089,2991.4,0.7,0.143,9.6,0.316766667,1.851851852,98.14814815,2
"142",2016,"Media",605719.3568,2181015.591,2991.8,0.633333333,0.156666667,9.2,0.4303,17.58241758,82.41758242,2
"143",2016,"Media",605725.683,2181009.21,2992.5,0.8,0.177666667,11.3,0.327233333,20.3125,79.6875,2
"144",2016,"Media",605728.1738,2181013.32,2992.4,0.866666667,0.265333333,7.2,0.402366667,0,100,2
"145",2016,"Baja",605744.4102,2181032.341,2975.7,0.166666667,0.027,8.2,0.293433333,4.724409449,95.27559055,1
"146",2016,"Baja",605740.8141,2181037.854,2980.1,0.933333333,0.259666667,9.3,0.358,3.703703704,96.2962963,2
"147",2016,"Baja",605740.1866,2181037.629,2979.6,0.933333333,0.137666667,17.5,0.465533333,8.888888889,91.11111111,2
"148",2016,"Baja",605738.0893,2181037.837,2979.8,0.733333333,0.081,8.3,0.380033333,8.219178082,91.78082192,2
"149",2016,"Baja",605731.7927,2181039.239,2979,0.033333333,0.004,9.4,0.4808,3,97,1
"150",2016,"Baja",605731.3312,2181028.722,2978.7,0.966666667,0.336,8.5,0.2688,19.64285714,80.35714286,2
"151",2016,"Baja",605734.5002,2181024.535,2994.3,0.266666667,0.108,10,0.254833333,10.34482759,89.65517241,2
"152",2016,"Baja",605724.5153,2181029.346,2993.3,0.133333333,0.014666667,12.4,0.424166667,5.113636364,94.88636364,1
"153",2016,"Baja",605728.7053,2181029.703,2974.3,0.966666667,0.231333333,9.2,0.281066667,2.150537634,97.84946237,2
"154",2016,"Baja",605741.3313,2181021.366,2994.3,1,0.231,7.1,0.390866667,1.086956522,98.91304348,2
"155",2016,"Baja",605757.8895,2181056.77,2980,0.7,0.184666667,11.8,0.335233333,11.11111111,88.88888889,1
"156",2016,"Baja",605732.9572,2181019.656,2992.2,0.966666667,0.297,8.2,0.316433333,27.05882353,72.94117647,2
"157",2016,"Baja",605732.8355,2181040.13,2979.8,0.666666667,0.171,8.7,0.311533333,1.052631579,98.94736842,2
"158",2016,"Baja",605717.8098,2181011.377,2991.9,0.633333333,0.218,8.3,0.3427,5,95,2
"159",2016,"Baja",605717.9203,2180992.784,2990.9,0.833333333,0.206666667,9.9,0.416066667,27.27272727,72.72727273,1
"160",2016,"Baja",605727.9204,2180985.428,2990.7,0.733333333,0.22,10.9,0.360266667,33.33333333,66.66666667,2
"161",2016,"Baja",605731.0032,2180995.739,2990.9,0.3,0.102666667,10.7,0.3883,22,78,1
"162",2016,"Baja",605707.4543,2181007.995,2991,0.966666667,0.123666667,12.7,0.3906,10.2739726,89.7260274,2
"163",2017,"Alta",605747.8559,2181069.77,2979.3,0,0,4.6,0.218433333,0,100,1
"164",2017,"Alta",605744.2655,2181056.689,2979.3,0,0,3.9,0.150833333,0,100,1
"165",2017,"Alta",605740.1774,2181039.178,2979.5,0,0,8,0.3172,0,100,1
"166",2017,"Alta",605754.4645,2181033.508,2980,0.2,0.032666667,8.7,0.319133333,0,100,1
"167",2017,"Alta",605742.3524,2181025.91,2984.3,0,0,8.8,0.299366667,36.58536585,63.41463415,1
"168",2017,"Alta",605727.7112,2181020.621,2992.3,0,0,10,0.278733333,0,100,1
"169",2017,"Alta",605724.2519,2181003.114,2990.8,0,0,6.5,0.228466667,0,100,1
"170",2017,"Alta",605737.9319,2180993.788,2991,0,0,8.7,0.345066667,0,100,1
"171",2017,"Alta",605724.6902,2180999.907,2991.2,0,0,11.3,0.278466667,0,100,1
"172",2017,"Alta",605721.5199,2181004.316,2990.9,0,0,9.2,0.355366667,0,100,1
"173",2017,"Alta",605723.5856,2181009.419,2991.1,0,0,7.5,0.285533333,0.925925926,99.07407407,1
"174",2017,"Alta",605723.5343,2181018.051,2992.4,0,0,6,0.293833333,0,100,1
"175",2017,"Alta",605720.3726,2181021.02,2993.1,0,0,7,0.2006,0,100,1
"176",2017,"Alta",605728.6395,2181040.769,2979.2,0,0,8.5,0.2864,0,100,1
"177",2017,"Alta",605750.3759,2181086.607,2973.2,0,0,6.1,0.237866667,0,100,1
"178",2017,"Alta",605752.4903,2181083.521,2973.3,0,0,5.9,0.267633333,2.777777778,97.22222222,1
"179",2017,"Alta",605758.8875,2181065.187,2978.5,0,0,8.4,0.284066667,0,100,1
"180",2017,"Alta",605746.3904,2181051.832,2979.5,0,0,6.2,0.2581,0,100,1
"181",2017,"Media",605743.3129,2181040.635,2980.2,0,0,11.5,0.334166667,0.740740741,99.25925926,1
"182",2017,"Media",605734.9078,2181044.127,2980.2,0,0,9.6,0.3025,0.769230769,99.23076923,1
"183",2017,"Media",605734.3542,2181049.104,2979.7,0,0,7.4,0.380433333,0,100,1
"184",2017,"Media",605734.3628,2181047.665,2979.8,0,0,8.2,0.334,0,100,1
"185",2017,"Media",605740.8457,2181032.541,2979.4,0,0,5.6,0.223333333,0,100,1
"186",2017,"Media",605727.6192,2181036.115,2979.4,0,0,10.5,0.373666667,0,100,1
"187",2017,"Media",605728.681,2181033.797,2978.5,0,0,9.1,0.313133333,0,100,1
"188",2017,"Media",605734.5193,2181021.326,2992.1,0,0,5.1,0.242966667,0,100,1
